S.N.,E,Gam,phi,C,Neu,dil,ExDep,Bfill,Plthk,FAng,Inc,Sp,Len,FOS,Dis
161,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,100,10.0,15,0.9,1.0,0.0,-0.042
162,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,100,10.0,15,0.9,0.8,0.0,-0.055
163,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,200,5.0,15,0.5,1.2,1.446,-0.06
164,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,200,5.0,15,0.5,1.0,1.361,-0.072
165,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,200,5.0,15,0.5,0.8,1.137,-0.097
166,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,200,5.0,15,0.7,1.2,1.295,-0.071
167,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,200,5.0,15,0.7,1.0,1.155,-0.09
168,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,200,5.0,15,0.7,0.8,0.0,-0.056
169,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,200,5.0,15,0.9,1.2,1.075,-0.099
170,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,200,5.0,15,0.9,1.0,0.0,-0.06
171,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,200,5.0,15,0.9,0.8,0.0,-0.09
172,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,200,10.0,15,0.5,1.2,1.497,-0.046
173,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,200,10.0,15,0.5,1.0,1.371,-0.05
174,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,200,10.0,15,0.5,0.8,1.194,-0.06
175,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,200,10.0,15,0.7,1.2,1.423,-0.051
176,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,200,10.0,15,0.7,1.0,1.205,-0.058
177,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,200,10.0,15,0.7,0.8,1.042,-0.081
178,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,200,10.0,15,0.9,1.2,1.156,-0.063
179,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,200,10.0,15,0.9,1.0,0.0,-0.041
180,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,200,10.0,15,0.9,0.8,0.0,-0.053
181,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,100,5.0,15,0.5,1.2,1.464,-0.048
182,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,100,5.0,15,0.5,1.0,1.291,-0.059
183,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,100,5.0,15,0.5,0.8,1.135,-0.084
184,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,100,5.0,15,0.7,1.2,1.293,-0.058
185,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,100,5.0,15,0.7,1.0,1.144,-0.078
186,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,100,5.0,15,0.7,0.8,0.0,-0.044
187,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,100,5.0,15,0.9,1.2,1.072,-0.092
188,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,100,5.0,15,0.9,1.0,0.0,-0.047
189,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,100,5.0,15,0.9,0.8,0.0,-0.076
190,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,100,10.0,15,0.5,1.2,1.502,-0.034
191,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,100,10.0,15,0.5,1.0,1.378,-0.038
192,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,100,10.0,15,0.5,0.8,1.188,-0.047
193,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,100,10.0,15,0.7,1.2,1.431,-0.039
194,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,100,10.0,15,0.7,1.0,1.205,-0.046
195,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,100,10.0,15,0.7,0.8,1.037,-0.069
196,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,100,10.0,15,0.9,1.2,1.16,-0.054
197,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,100,10.0,15,0.9,1.0,0.0,-0.029
198,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,100,10.0,15,0.9,0.8,0.0,-0.039
199,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,200,5.0,15,0.5,1.2,1.44,-0.045
200,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,200,5.0,15,0.5,1.0,1.305,-0.054
201,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,200,5.0,15,0.5,0.8,1.137,-0.077
202,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,200,5.0,15,0.7,1.2,1.296,-0.055
203,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,200,5.0,15,0.7,1.0,1.156,-0.07
204,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,200,5.0,15,0.7,0.8,0.0,-0.041
205,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,200,5.0,15,0.9,1.2,1.076,-0.078
206,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,200,5.0,15,0.9,1.0,0.0,-0.046
207,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,200,5.0,15,0.9,0.8,0.0,-0.074
208,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,200,10.0,15,0.5,1.2,1.5,-0.032
209,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,200,10.0,15,0.5,1.0,1.398,-0.035
210,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,200,10.0,15,0.5,0.8,1.198,-0.043
211,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,200,10.0,15,0.7,1.2,1.418,-0.037
212,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,200,10.0,15,0.7,1.0,1.21,-0.042
213,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,200,10.0,15,0.7,0.8,1.041,-0.062
214,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,200,10.0,15,0.9,1.2,1.157,-0.047
215,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,200,10.0,15,0.9,1.0,0.0,-0.028
