S.N.	E	Gam	phi	C	Neu	dil	ExDep	Bfill	Plthk	FAng	Inc	Sp	Len	FOS	Dis	

2222	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	200	5.0	15	0.9	1.0	2.068	-0.04
2223	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	200	5.0	15	0.9	0.8	1.868	-0.047
2224	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	200	10.0	15	0.5	1.2	2.619	-0.019
2225	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	200	10.0	15	0.5	1.0	2.432	-0.021
2226	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	200	10.0	15	0.5	0.8	2.274	-0.024
2227	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	200	10.0	15	0.7	1.2	2.488	-0.021
2228	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	200	10.0	15	0.7	1.0	2.321	-0.024
2229	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	200	10.0	15	0.7	0.8	2.137	-0.027
2230	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	200	10.0	15	0.9	1.2	2.344	-0.024
2231	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	200	10.0	15	0.9	1.0	2.181	-0.027
2232	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	200	10.0	15	0.9	0.8	1.989	-0.029
2233	6500	19.5	30.0	15.0	0.35	0.0	6.0	0	100	5.0	15	0.5	1.2	2.149	-0.052
2234	6500	19.5	30.0	15.0	0.35	0.0	6.0	0	100	5.0	15	0.5	1.0	1.986	-0.055
2235	6500	19.5	30.0	15.0	0.35	0.0	6.0	0	100	5.0	15	0.5	0.8	1.815	-0.061
2236	6500	19.5	30.0	15.0	0.35	0.0	6.0	0	100	5.0	15	0.7	1.2	2.01	-0.058
2237	6500	19.5	30.0	15.0	0.35	0.0	6.0	0	100	5.0	15	0.7	1.0	1.833	-0.06
2238	6500	19.5	30.0	15.0	0.35	0.0	6.0	0	100	5.0	15	0.7	0.8	1.595	-0.067
2239	6500	19.5	30.0	15.0	0.35	0.0	6.0	0	100	5.0	15	0.9	1.2	1.829	-0.063
2240	6500	19.5	30.0	15.0	0.35	0.0	6.0	0	100	5.0	15	0.9	1.0	1.616	-0.068
2241	6500	19.5	30.0	15.0	0.35	0.0	6.0	0	100	5.0	15	0.9	0.8	1.474	-0.078
2242	6500	19.5	30.0	15.0	0.35	0.0	6.0	0	100	10.0	15	0.5	1.2	2.212	-0.041
2243	6500	19.5	30.0	15.0	0.35	0.0	6.0	0	100	10.0	15	0.5	1.0	1.987	-0.043
