column_name,angle,,C,E,FAng,Gam,Len,Neu,Plthk,Sp,phi
phi,0.77,,0,0,0,0,0,0,0,0,0.77
C,0.61,,0.61,0,0,0,0,0,0,0,0
E,-0.02,,0,-0.02,0,0,0,0,0,0,0
FAng,0.1,,0,0,0.1,0,0,0,0,0,0
Gam,-0.44,,0,0,0,-0.44,0,0,0,0,0
Len,0.55,,0,0,0,0,0.55,0,0,0,0
Neu,-0.01,,0,0,0,0,0,-0.01,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.26,,0,0,0,0,0,0,0,-0.26,0
phi,0.85,,0,0,0,0,0,0,0,0,0.85
C,0.65,,0.65,0,0,0,0,0,0,0,0
E,-0.04,,0,-0.04,0,0,0,0,0,0,0
FAng,0.1,,0,0,0.1,0,0,0,0,0,0
Gam,-0.39,,0,0,0,-0.39,0,0,0,0,0
Len,0.46,,0,0,0,0,0.46,0,0,0,0
Neu,-0.05,,0,0,0,0,0,-0.05,0,0,0
Plthk,-0.01,,0,0,0,0,0,0,-0.01,0,0
Sp,-0.27,,0,0,0,0,0,0,0,-0.27,0
phi,0.73,,0,0,0,0,0,0,0,0,0.73
C,0.65,,0.65,0,0,0,0,0,0,0,0
E,-0.05,,0,-0.05,0,0,0,0,0,0,0
FAng,0.09,,0,0,0.09,0,0,0,0,0,0
Gam,-0.37,,0,0,0,-0.37,0,0,0,0,0
Len,0.37,,0,0,0,0,0.37,0,0,0,0
Neu,-0.02,,0,0,0,0,0,-0.02,0,0,0
Plthk,-0.01,,0,0,0,0,0,0,-0.01,0,0
Sp,-0.25,,0,0,0,0,0,0,0,-0.25,0
phi,0.67,,0,0,0,0,0,0,0,0,0.67
C,0.69,,0.69,0,0,0,0,0,0,0,0
E,-0.06,,0,-0.06,0,0,0,0,0,0,0
FAng,0.09,,0,0,0.09,0,0,0,0,0,0
Gam,-0.39,,0,0,0,-0.39,0,0,0,0,0
Len,0.52,,0,0,0,0,0.52,0,0,0,0
Neu,-0.02,,0,0,0,0,0,-0.02,0,0,0
Plthk,-0.03,,0,0,0,0,0,0,-0.03,0,0
Sp,-0.33,,0,0,0,0,0,0,0,-0.33,0
phi,0.7,,0,0,0,0,0,0,0,0,0.7
C,1.41,,1.41,0,0,0,0,0,0,0,0
E,-0.02,,0,-0.02,0,0,0,0,0,0,0
FAng,0.09,,0,0,0.09,0,0,0,0,0,0
Gam,-0.47,,0,0,0,-0.47,0,0,0,0,0
Len,0.43,,0,0,0,0,0.43,0,0,0,0
Neu,0.05,,0,0,0,0,0,0.05,0,0,0
Plthk,-0.01,,0,0,0,0,0,0,-0.01,0,0
Sp,-0.35,,0,0,0,0,0,0,0,-0.35,0
phi,0.67,,0,0,0,0,0,0,0,0,0.67
C,1.3,,1.3,0,0,0,0,0,0,0,0
E,-0.05,,0,-0.05,0,0,0,0,0,0,0
FAng,0.14,,0,0,0.14,0,0,0,0,0,0
Gam,-0.38,,0,0,0,-0.38,0,0,0,0,0
Len,0.34,,0,0,0,0,0.34,0,0,0,0
Neu,0.02,,0,0,0,0,0,0.02,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.32,,0,0,0,0,0,0,0,-0.32,0
phi,0.64,,0,0,0,0,0,0,0,0,0.64
C,0.61,,0.61,0,0,0,0,0,0,0,0
E,-0.05,,0,-0.05,0,0,0,0,0,0,0
FAng,0.04,,0,0,0.04,0,0,0,0,0,0
Gam,-0.47,,0,0,0,-0.47,0,0,0,0,0
Len,0.58,,0,0,0,0,0.58,0,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.2,,0,0,0,0,0,0,0,-0.2,0
phi,0.77,,0,0,0,0,0,0,0,0,0.77
C,0.62,,0.62,0,0,0,0,0,0,0,0
E,0.01,,0,0.01,0,0,0,0,0,0,0
FAng,0.03,,0,0,0.03,0,0,0,0,0,0
Gam,-0.36,,0,0,0,-0.36,0,0,0,0,0
Len,0.48,,0,0,0,0,0.48,0,0,0,0
Neu,-0.05,,0,0,0,0,0,-0.05,0,0,0
Plthk,-0.01,,0,0,0,0,0,0,-0.01,0,0
Sp,-0.21,,0,0,0,0,0,0,0,-0.21,0
phi,0.75,,0,0,0,0,0,0,0,0,0.75
C,0.6,,0.6,0,0,0,0,0,0,0,0
E,-0.12,,0,-0.12,0,0,0,0,0,0,0
FAng,0.05,,0,0,0.05,0,0,0,0,0,0
Gam,-0.34,,0,0,0,-0.34,0,0,0,0,0
Len,0.39,,0,0,0,0,0.39,0,0,0,0
Neu,0.11,,0,0,0,0,0,0.11,0,0,0
Plthk,0.02,,0,0,0,0,0,0,0.02,0,0
Sp,-0.2,,0,0,0,0,0,0,0,-0.2,0
phi,0.69,,0,0,0,0,0,0,0,0,0.69
C,0.64,,0.64,0,0,0,0,0,0,0,0
E,-0.02,,0,-0.02,0,0,0,0,0,0,0
FAng,0.05,,0,0,0.05,0,0,0,0,0,0
Gam,-0.42,,0,0,0,-0.42,0,0,0,0,0
Len,0.6,,0,0,0,0,0.6,0,0,0,0
Neu,0,,0,0,0,0,0,0,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.28,,0,0,0,0,0,0,0,-0.28,0
phi,0.78,,0,0,0,0,0,0,0,0,0.78
C,-0.82,,-0.82,0,0,0,0,0,0,0,0
E,-6.2,,0,-6.2,0,0,0,0,0,0,0
FAng,1.22,,0,0,1.22,0,0,0,0,0,0
Gam,7.11,,0,0,0,7.11,0,0,0,0,0
Len,0.5,,0,0,0,0,0.5,0,0,0,0
Neu,6.92,,0,0,0,0,0,6.92,0,0,0
Plthk,1.16,,0,0,0,0,0,0,1.16,0,0
Sp,-0.3,,0,0,0,0,0,0,0,-0.3,0
phi,8.21,,0,0,0,0,0,0,0,0,8.21
C,1.32,,1.32,0,0,0,0,0,0,0,0
E,-0.02,,0,-0.02,0,0,0,0,0,0,0
FAng,0.06,,0,0,0.06,0,0,0,0,0,0
Gam,-0.41,,0,0,0,-0.41,0,0,0,0,0
Len,0.4,,0,0,0,0,0.4,0,0,0,0
Neu,0.07,,0,0,0,0,0,0.07,0,0,0
Plthk,0.01,,0,0,0,0,0,0,0.01,0,0
Sp,-0.28,,0,0,0,0,0,0,0,-0.28,0
phi,0.69,,0,0,0,0,0,0,0,0,0.69
C,0.68,,0.68,0,0,0,0,0,0,0,0
E,-0.04,,0,-0.04,0,0,0,0,0,0,0
FAng,0.05,,0,0,0.05,0,0,0,0,0,0
Gam,-0.5,,0,0,0,-0.5,0,0,0,0,0
